日期,前一天涨幅,cum_return_5d,cum_return_20d,rsi_14,close_above_ma5,close_above_ma20,close_above_ma60,plus_di_14,minus_di_14,adx_14,bb_upper_20_2,bb_middle_20_2,bb_lower_20_2,is_above_bb_upper,is_below_bb_lower,atr_14,ma_volume_5,volume_up_strong,volume_down_strong,obv,consecutive_up_days,consecutive_down_days,consecutive_up_2d,consecutive_down_2d,consecutive_up_3d,consecutive_down_3d,consecutive_up_4d,consecutive_down_4d,consecutive_up_5d,consecutive_down_5d,consecutive_up_6d,consecutive_down_6d,consecutive_up_7d,consecutive_down_7d,price_slope_5d,ma20_slope_5d,price_ma20_slope_ratio,prev_close_above_ma5
2021/11/22,0.55,0.011851794,0.055870787,63.0442141,0,1,1,0,0,0,16692.7076,16126.6265,15560.5454,0,0,202.5809876,212292000,1,0,1.11619E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38.374,48.9685,0.78364663,1
2021/11/23,-1.16,-0.000187004,0.048024068,55.52505381,0,1,1,0,0,0,16667.6586,16163.988,15660.3174,0,0,215.0115226,218756000,0,0,1.11405E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-0.61,47.4503,-0.012855556,0
2021/11/24,-0.45,0.003663217,0.049326886,50.8124967,0,1,1,0,0,0,16637.02867,16202.459,15767.88933,0,0,221.6153196,216478000,0,0,1.11578E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.948,45.9509,0.26001667,0
2021/11/26,0.37,-0.027749247,0.015681169,39.92441804,0,0,1,0,0,0,16610.92595,16214.83,15818.73405,0,0,242.581277,209062000,0,0,1.1139E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-91.478,38.4913,-2.376588995,0
2021/11/29,-2.09,-0.010504823,0.034621686,51.5749032,1,1,1,0,0,0,16606.86732,16242.2685,15877.66968,0,0,265.11444,207560000,0,1,1.11613E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.82,31.7963,-1.09509597,0
2021/11/30,2.33,-0.014960033,0.014500845,48.0499162,0,0,1,0,0,0,16586.73559,16253.8005,15920.86541,0,0,280.5391814,241982000,1,0,1.11201E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-49.012,25.4348,-1.926966204,1
2021/12/1,-1.61,-0.026308172,-0.005933327,47.52393416,0,0,1,0,0,0,16601.00975,16249.062,15897.11425,0,1,318.2259572,249980000,0,1,1.10947E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-85.8,17.0148,-5.042668735,0
2021/12/2,-1.6,-0.023036069,-0.009522748,49.07062866,0,0,1,0,0,0,16609.2921,16241.375,15873.4579,0,0,315.1824962,265796000,0,0,1.11199E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-75.41,7.7832,-9.688816939,0
2021/12/3,0.71,-0.019564971,-0.038797913,39.64352585,0,0,1,0,0,0,16643.02703,16209.665,15776.30297,0,1,345.9981634,285726000,1,0,1.10911E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-62.708,-1.033,60.70474347,0
2021/12/6,-1.74,-0.033725953,-0.031371605,43.08186377,0,0,1,0,0,0,16640.2159,16184.004,15727.7921,0,0,345.3064083,290072000,0,0,1.11156E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-110.616,-11.6529,9.492572664,0
2021/12/7,0.85,0.011758858,-0.000634793,50.28000296,1,1,1,0,0,0,16638.99292,16183.4855,15727.97808,0,0,365.6002205,259968000,1,0,1.11418E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,37.948,-14.063,-2.6984285,0
2021/12/8,3.03,0.032537417,0.010752821,51.48513488,1,1,1,0,0,0,16657.22978,16192.206,15727.18222,0,0,336.9481911,250868000,0,0,1.11626E+11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,103.324,-11.3712,-9.08646405,1
2021/12/9,0.42,0.00993136,0.010259253,44.39535759,1,0,1,0,0,0,16655.7713,16200.406,15745.0407,0,0,328.2737656,238396000,0,0,1.11436E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31.762,-8.1938,-3.87634553,1
2021/12/10,-1.49,0.039456366,0.018681463,46.06438905,1,1,1,0,0,0,16667.17845,16215.3815,15763.58455,0,0,311.1865969,222092000,0,0,1.11642E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,123.988,1.1433,108.4474766,1
2021/12/13,1.13,0.01491781,-0.007243259,45.22271989,0,0,1,0,0,0,16665.18938,16209.5145,15753.83962,0,0,303.9737173,218174000,1,0,1.11418E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47.278,5.1021,9.26638051,1
2021/12/14,-1.53,-0.025160392,-0.016937929,43.90982399,0,0,1,0,0,0,16670.18113,16195.804,15721.42687,0,0,308.7438883,213422000,0,1,1.11179E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-82.152,2.4637,-33.34496895,0
2021/12/15,-1.04,-0.0063894,-0.001237295,48.89219979,1,1,1,0,0,0,16668.23639,16194.795,15721.35361,0,0,341.4887032,221646000,0,1,1.11428E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.95,0.5178,-40.45963693,0
2021/12/16,2.35,-0.017686539,-0.027233756,47.76359772,0,0,1,0,0,0,16664.94445,16172.5885,15680.23255,0,0,367.6755428,237120000,1,0,1.11161E+11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-57.126,-5.5635,10.26799676,1
2021/12/17,-2.61,-0.032483508,-0.041346311,40.9500221,0,0,1,0,0,0,16634.73986,16138.513,15642.28614,0,0,358.1388037,317104000,0,1,1.10555E+11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,-106.104,-15.3737,6.901656725,0
2021/12/20,-0.39,-0.028285937,-0.057061522,42.09065219,0,0,0,0,0,0,16593.1914,16091.228,15589.2646,0,0,349.4162966,314620000,0,0,1.10343E+11,0,3,0,1,0,1,0,0,0,0,0,0,0,0,-90.982,-23.6573,3.845831942,0
2021/12/21,-1.1,0.004485105,-0.024095018,51.63809754,1,0,1,0,0,0,16556.23122,16071.493,15586.75478,0,0,353.511457,308982000,0,0,1.10553E+11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.276,-24.8622,-0.574205018,0
2021/12/22,2.29,-0.006719015,-0.007762444,52.78957819,1,1,1,0,0,0,16540.17851,16065.164,15590.14949,0,0,338.2019294,292418000,0,0,1.10719E+11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-21.89,-25.9262,0.844319646,1
2021/12/23,1.21,0.028005023,-0.003641293,59.18946164,1,1,1,0,0,0,16529.89587,16062.184,15594.47213,0,0,317.1896722,271860000,0,0,1.10883E+11,3,0,1,0,1,0,0,0,0,0,0,0,0,0,88.854,-22.0809,-4.02402076,1
